,city,province,address,nearest_city
11209,Esneux,liege,rue de Bruxelles 43,Liege
11210,Dalhem,liege,Voie du Vieux Thier,Liege
11211,Bas-Oha,liege,Rue Alphonse Libert 8,Namur
11212,Limbourg,liege,Halloux 3,Liege
11213,Mortroux,liege,Clos du Grand Sart 18,Liege
11214,Anthisnes,liege,Rue Targnon 35,Liege
11215,Liege,liege,Rue Vivegnis 48,Liege
11216,Ouffet,liege,,Liege
11217,Amel,liege,,Liege
11218,Oleye,liege,,Liege
11219,Villers-l'Évêque,liege,Rue Nicolas Lenoir 23,Liege
11220,Sprimont,liege,Rue Cochetay 4 11,Liege
11221,Cheratte,liege,,Liege
11222,Liege,liege,Rue Marcel Thiry 26,Liege
11223,Visé,liege,Rue des Pontonniers 21,Liege
11224,Embourg,liege,Rue Joseph Deflandre 213,Liege
11225,Liege,liege,Rue de l'Arbre Sainte-Barbe 290,Liege
11226,Wanze,liege,Chaussée de Wavre 268A,Namur
11227,Pellaines,liege,A la courte terre 4,Leuven
11228,Eynatten,liege,Hauseter Straße 4,Liege
11229,Liege,liege,Rue Léon Mignon 6,Liege
11230,Battice,liege,"Rue de Waucomont, 59",Liege
11231,Hannut,liege,Voie de Liège 1,Namur
11232,Saive,liege,Route de Parfondvaux 74,Liege
11233,Theux,liege,Rue de la Chaussée 21-23,Liege
11234,Ferrières,liege,,Liege
11235,Andrimont,liege,Route d'Henri Chapelle 73,Liege
11236,Verviers,liege,Rue des Foxhalles 27,Liege
11237,Oupeye,liege,rue lavaux 6,Liege
11238,Neupré,liege,,Liege
11239,Neupré,liege,,Liege
11240,Theux,liege,Rue Basse Desnié 15,Liege
11241,Louveigné,liege,,Liege
11242,Romsée,liege,,Liege
11243,Hannut,liege,Voie de Liège 1,Namur
11244,Oreye,liege,Rue des Clercs 46,Liege
11245,Nandrin,liege,,Liege
11246,Flémalle,liege,Rue des Nonnes 32A,Liege
