,city,province,address,nearest_city
88,Meerhout,antwerp,Kapellestraat 110,Leuven
89,Antwerp,antwerp,Helenalei 24A 045,Antwerp
90,Turnhout,antwerp,steenweg op oosthoven 54,Antwerp
91,Antwerp,antwerp,Frankrijklei 41/43,Antwerp
92,Herentals,antwerp,Fraikinstraat 30,Antwerp
93,Turnhout,antwerp,Dessauerplein 1,Antwerp
94,Boom,antwerp,Voetballersstraat 28,Antwerp
95,Antwerp,antwerp,Belgiëlei 94,Antwerp
96,Antwerp,antwerp,Boomsesteenweg 329 301,Antwerp
97,Borgerhout,antwerp,Turnhoutsebaan 209 2,Antwerp
98,Niel,antwerp,Vredestraat 44,Antwerp
99,Boom,antwerp,Voetballersstraat 28,Antwerp
100,Deurne,antwerp,Kerkeveldlaan 41,Antwerp
101,Deurne,antwerp,Bisschoppenhoflaan 314 20,Antwerp
102,Antwerp,antwerp,Kipdorp 61,Antwerp
103,Merksem,antwerp,Lambrechtshoekenlaan 211 0604,Antwerp
104,Turnhout,antwerp,Dessauerplein 1,Antwerp
105,Boom,antwerp,Voetballersstraat 28,Antwerp
106,Merksem,antwerp,nieuwdreef 123,Antwerp
107,Turnhout,antwerp,De Merodelei 247 4,Antwerp
108,Mol,antwerp,Kiezelweg,Leuven
109,Deurne,antwerp,Frans Baetensstraat 6,Antwerp
110,Antwerp,antwerp,Diepestraat 65 201,Antwerp
111,Antwerp,antwerp,Carnotstraat 152 301,Antwerp
112,Deurne,antwerp,Baron Leroystraat 34 101,Antwerp
113,Antwerp,antwerp,Cassiersstraat 41,Antwerp
114,Antwerp,antwerp,Lange Kongostraat 43,Antwerp
115,Antwerp,antwerp,Somméstraat 21-23,Antwerp
116,Deurne,antwerp,bosuil 27 52,Antwerp
117,Rijmenam,antwerp,Eertberglei 42,Leuven
118,Antwerp,antwerp,Pothoekstraat 178 31,Antwerp
119,Mol,antwerp,Ginderbroek 15,Leuven
120,Laakdal,antwerp,Oude Tramlijn 2B 13,Leuven
121,Antwerp,antwerp,Greinstraat 53,Antwerp
122,Berchem,antwerp,Coveliersstraat 6 2.10,Antwerp
123,Schoten,antwerp,Brechtsebaan 249/2,Antwerp
124,Mol,antwerp,Kiezelweg 17 - 549,Leuven
125,Mol,antwerp,Ginderbroek 17,Leuven
126,Deurne,antwerp,Jan van Parijsstraat 18,Antwerp
127,Mechelen,antwerp,Zwartzustersvest 29 001,Antwerp
128,Herentals,antwerp,Nonnenstraat 27 A,Antwerp
129,Deurne,antwerp,Lakborslei 491 102,Antwerp
130,Wechelderzande,antwerp,Dokter Karel Van Noppenstraat 21,Antwerp
131,Deurne,antwerp,Maria de Heeltstraat 3 GLV,Antwerp
132,Herentals,antwerp,Koulaak 33,Antwerp
133,Deurne,antwerp,Wouter Haecklaan 2 4b,Antwerp
134,Grobbendonk,antwerp,Herentalse steenweg 57 2.07,Antwerp
135,Nijlen,antwerp,Molenstraat 71,Antwerp
136,Lier,antwerp,Berlaarsesteenweg 27,Antwerp
137,Antwerp,antwerp,Ellermanstraat 61 212,Antwerp
138,Edegem,antwerp,Ernest Jouretlaan 2 02VA,Antwerp
139,Antwerp,antwerp,Berchemlei 85 202,Antwerp
140,Berchem,antwerp,Coremansstraat 1 2F,Antwerp
141,Rijkevorsel,antwerp,Molenstraat 23,Antwerp
142,Deurne,antwerp,Wouter Haecklaan 2 4a,Antwerp
143,Berchem,antwerp,Potvlietlaan 10 19,Antwerp
144,Herentals,antwerp,Glasstraat 27,Antwerp
145,Hoboken,antwerp,Sint-Bernardsesteenweg 736 201,Antwerp
146,Putte,antwerp,Hoogstraat 1,Leuven
147,Antwerp,antwerp,Van Stralenstraat 19 14,Antwerp
148,Herentals,antwerp,Markgravenstraat 45,Antwerp
149,Antwerp,antwerp,Italiëlei 227-233 S6,Antwerp
150,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 2,Antwerp
151,Grobbendonk,antwerp,Herentalse steenweg 59 2.1 001,Antwerp
152,Borgerhout,antwerp,Appelstraat 4A 001,Antwerp
153,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 8,Antwerp
154,Grobbendonk,antwerp,Herentalsesteenweg 59 008,Antwerp
155,Turnhout,antwerp,de Merodelei 95 14,Antwerp
156,Deurne,antwerp,Wouter Haecklaan 6 601,Antwerp
157,Antwerp,antwerp,Helenalei 24A 011,Antwerp
158,Oud-Turnhout,antwerp,Steenweg op Turnhout 39 3,Antwerp
159,Boom,antwerp,Antwerpsestraat 91 B2,Antwerp
160,Burcht,antwerp,pastoor coplaan 210,Antwerp
161,Borgerhout,antwerp,Sergeyselsstraat 45 5,Antwerp
162,Antwerp,antwerp,Van Maerlantstraat 68 3,Antwerp
163,Antwerp,antwerp,Italiëlei 227-233 S14,Antwerp
164,Herentals,antwerp,De Zaatweg 6 11,Antwerp
165,Antwerp,antwerp,Lange Beeldekensstraat 193 V3,Antwerp
166,Geel,antwerp,Valkenborch 16 c,Leuven
167,Merksem,antwerp,Minister Delbekelaan 3,Antwerp
168,Lier,antwerp,Lindenstraat 68,Antwerp
169,Antwerp,antwerp,August Vermeylenlaan 5,Antwerp
170,Turnhout,antwerp,Duifhuisstraat 24 7,Antwerp
171,Deurne,antwerp,Leeuwlantstraat 105 1,Antwerp
172,Balen,antwerp,Heerbaan ZN,Leuven
173,Antwerp,antwerp,Ellermanstraat 61 217,Antwerp
174,Borgerhout,antwerp,Blijde-Inkomststraat 1 14,Antwerp
175,Geel,antwerp,Rijn 54 K,Leuven
176,Antwerp,antwerp,Rotterdamstraat 80,Antwerp
177,Antwerp,antwerp,Morckhovenlei 39,Antwerp
178,Grobbendonk,antwerp,Quinten Matsyslaan 14,Antwerp
179,Merksem,antwerp,Leiebos 21 1,Antwerp
180,Mortsel,antwerp,Sint-Annalei 26,Antwerp
181,Mol,antwerp,Kiezelweg 17 245,Leuven
182,Antwerp,antwerp,Rotterdamstraat 80 2,Antwerp
183,Antwerp,antwerp,Rotterdamstraat 80,Antwerp
184,Ekeren,antwerp,Kouter 17 2,Antwerp
185,Deurne,antwerp,Leeuwlantstraat 105 2,Antwerp
186,Willebroek,antwerp,Vooruitgangsstraat 95,Antwerp
187,Antwerp,antwerp,Rotterdamstraat 80,Antwerp
188,Antwerp,antwerp,Stijfselrui 16 4,Antwerp
189,Willebroek,antwerp,Overwinningsstraat 50 302,Antwerp
190,Antwerp,antwerp,August Vermeylenlaan 1,Antwerp
191,Sint-Katelijne-Waver,antwerp,Markt 20 2L,Antwerp
192,Merksem,antwerp,Lambrechtshoekenlaan 209 B1,Antwerp
193,Borgerhout,antwerp,Turnhoutsebaan 457 4E,Antwerp
194,Wilrijk,antwerp,Rooiboslaan 97,Antwerp
195,Antwerp,antwerp,Carnotstraat 65 C10,Antwerp
196,Antwerp,antwerp,Carnotstraat 65 A6,Antwerp
197,Willebroek,antwerp,Mechelsesteenweg 84A,Antwerp
198,Berchem,antwerp,De Roest d'Alkemadelaan 13 3,Antwerp
199,Merksem,antwerp,Leiebos 31,Antwerp
200,Berchem,antwerp,Velodroomstraat 15 401,Antwerp
201,Lier,antwerp,Mechelsesteenweg 44 2,Antwerp
202,Antwerp,antwerp,Carnotstraat 27 46,Antwerp
203,Mechelen,antwerp,Brusselsesteenweg 11 03,Brussels
204,Edegem,antwerp,Ullensstraat 51,Antwerp
205,Balen,antwerp,Deliestraat 78,Leuven
206,Boom,antwerp,Hoek 54,Antwerp
207,Antwerp,antwerp,Belgiëlei 94 503,Antwerp
208,Mol,antwerp,Kiezelweg 17 T239,Leuven
209,Antwerp,antwerp,De Bosschaertstraat 60 C8,Antwerp
210,Herentals,antwerp,Kapucijnenstraat 12,Antwerp
211,Merksem,antwerp,Dokter Maurice Timmermanslaan 47 101,Antwerp
212,Bornem,antwerp,Sint-Amandsesteenweg 107 305,Antwerp
213,Deurne,antwerp,Te Couwelaarlei 93,Antwerp
214,Mol,antwerp,Kiezelweg 17 - 586,Leuven
215,Deurne,antwerp,Bosuil 27 8,Antwerp
216,Geel,antwerp,Waaiburg 81,Leuven
217,Mol,antwerp,Kiezelweg 17 255,Leuven
218,Antwerp,antwerp,Italiëlei 227-229 408,Antwerp
219,Turnhout,antwerp,Molenstraat 56 2,Antwerp
220,Mol,antwerp,,Leuven
221,Mol,antwerp,Kiezelweg 17 - 564,Leuven
222,Berchem,antwerp,Pieter Jozef Nauwelaertsstraat 33 9,Antwerp
223,Balen,antwerp,Alfons Dierckxstraat 9 2,Leuven
224,Wilrijk,antwerp,Oosterveldlaan 33,Antwerp
225,Wilrijk,antwerp,Scheidingstraat 5 101,Antwerp
226,Herentals,antwerp,Sint-Jobsstraat 193,Antwerp
227,Mol,antwerp,Kiezelweg 17 - 595,Leuven
228,Antwerp,antwerp,Dambruggestraat 68 3,Antwerp
229,Mol,antwerp,Kiezelweg 17 - 565,Leuven
230,Mol,antwerp,Kiezelweg 17 - 104,Leuven
231,Deurne,antwerp,Arendshoflaan 24 2,Antwerp
232,Mol,antwerp,Kiezelweg 17 - 597,Leuven
233,Mol,antwerp,Kiezelweg 17 - 591,Leuven
234,Mol,antwerp,Kiezelweg 17 - 594,Leuven
235,Boom,antwerp,Henri Spillemaeckersstraat 7 2B,Antwerp
236,Antwerp,antwerp,August Vermeylenlaan 21,Antwerp
237,Mol,antwerp,Kiezelweg 17 - 584,Leuven
238,Mol,antwerp,Kiezelweg 17 - 570,Leuven
239,Antwerp,antwerp,Van Kerckhovenstraat 68 201,Antwerp
240,Sint-Lenaarts,antwerp,Heiken 21,Antwerp
241,Antwerp,antwerp,Van Kerckhovenstraat 68 101,Antwerp
242,Antwerp,antwerp,Van Eycklei 39 A2,Antwerp
243,Mol,antwerp,Kiezelweg 17 - 596,Leuven
244,Ekeren,antwerp,Gebroeders Leemansstraat 13,Antwerp
245,Niel,antwerp,Kapelstraat 23,Antwerp
246,Deurne,antwerp,Bisschoppenhoflaan 484,Antwerp
247,Antwerp,antwerp,Plantin en Moretuslei 2 901,Antwerp
248,Mol,antwerp,Kiezelweg 17 - 548,Leuven
249,Mol,antwerp,Kiezelweg 17 - 551,Leuven
250,Mol,antwerp,Kiezelweg 17 - 547,Leuven
251,Borgerhout,antwerp,Turnhoutsebaan 457 18E,Antwerp
252,Mol,antwerp,Kiezelweg 17 - 546,Leuven
253,Herentals,antwerp,Stationsstraat 29,Antwerp
254,Balen,antwerp,Reit 22,Leuven
255,Mol,antwerp,Kiezelweg 17 - 550,Leuven
256,Antwerp,antwerp,Volkstraat 50 4V,Antwerp
257,Mol,antwerp,Kiezelweg 17,Leuven
258,Antwerp,antwerp,Kruishofstraat 146,Antwerp
259,Mol,antwerp,Kiezelweg 17 - 554,Leuven
260,Willebroek,antwerp,Louis De Naeyerplein 19 1,Antwerp
261,Ranst,antwerp,Eksterlaan 11 22,Antwerp
262,Deurne,antwerp,Kerkeveldlaan 41 602,Antwerp
263,Willebroek,antwerp,Appeldonkstraat 165,Antwerp
264,Wilrijk,antwerp,Scheidingstraat 5 001,Antwerp
265,Duffel,antwerp,Leopoldstraat 86,Antwerp
266,Mol,antwerp,Kiezelweg 17 - 552,Leuven
267,Wilrijk,antwerp,Bist 46 A 102,Antwerp
268,Geel,antwerp,Stationsstraat 49,Leuven
269,Turnhout,antwerp,Duifhuisstraat 24 8,Antwerp
270,Wilrijk,antwerp,Scheidingstraat 5 201,Antwerp
271,Mol,antwerp,,Leuven
272,Mol,antwerp,,Leuven
